Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Allen Iverson,2009,,,,,,
Allen Iverson,2009,,,,,,
Allen Iverson,2009,24,0.5,0.333,0.846,2,4
Allen Iverson,2009,10,0.364,0,0.5,2,4
Allen Iverson,2009,30,0.474,0.6,0.9,1,3
Allen Iverson,2009,23,0.348,0.667,0.833,0,3
Allen Iverson,2009,25,0.583,0,0.917,1,3
Allen Iverson,2009,9,0.235,0.2,,1,5
Allen Iverson,2009,23,0.5,0.25,1,0,4
Allen Iverson,2009,16,0.385,0.333,1,1,4
Allen Iverson,2009,9,0.273,0,0.75,0,2
Allen Iverson,2009,16,0.375,,0.8,1,1
Allen Iverson,2009,17,0.4,,0.75,0,3
Allen Iverson,2009,9,0.222,,0.833,0,1
Allen Iverson,2009,19,0.471,0.4,1,0,3
Allen Iverson,2009,17,0.429,0,0.833,0,3
Allen Iverson,2009,17,0.333,0,0.714,1,1
Allen Iverson,2009,,,,,,
Allen Iverson,2009,13,0.462,0,1,1,3
Allen Iverson,2009,17,0.5,,0.833,0,4
Allen Iverson,2009,20,0.538,0.8,0.333,1,1
Allen Iverson,2009,28,0.625,0.5,0.778,0,2
Allen Iverson,2009,38,0.542,0.333,1,1,6
Allen Iverson,2009,10,0.364,,1,1,1
Allen Iverson,2009,5,0,0,0.833,0,1
Allen Iverson,2009,22,0.529,0,1,0,4
Allen Iverson,2009,18,0.429,0,1,0,5
Allen Iverson,2009,15,0.429,,0.5,1,0
Allen Iverson,2009,19,0.412,0,1,0,2
Allen Iverson,2009,23,0.417,0,1,0,4
Allen Iverson,2009,18,0.318,0.286,1,0,3
Allen Iverson,2009,14,0.316,0,0.5,0,4
Allen Iverson,2009,23,0.333,0.286,0.818,0,1
Allen Iverson,2009,11,0.308,0,0.75,0,0
Allen Iverson,2009,13,0.417,0,0.75,1,4
Allen Iverson,2009,23,0.474,0,0.625,0,4
Allen Iverson,2009,14,0.429,,0.333,0,1
Allen Iverson,2009,12,0.5,,0.5,0,1
Allen Iverson,2009,,,,,,
Allen Iverson,2009,27,0.611,0,0.625,1,4
Allen Iverson,2009,11,0.333,0.5,1,2,2
Allen Iverson,2009,11,0.333,,0.833,0,2
Allen Iverson,2009,17,0.5,1,0.6,0,1
Allen Iverson,2009,19,0.333,,0.9,1,0
Allen Iverson,2009,19,0.5,,0.833,0,2
Allen Iverson,2009,22,0.474,,1,0,5
Allen Iverson,2009,11,0.3,0,0.714,0,4
