Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
David West,2009,18,7,17,.412,0,0,,4,4,1.000,0,10,10,1,2,1,1,0
David West,2009,20,8,15,.533,0,0,,4,5,.800,1,5,6,0,0,0,1,1
David West,2009,25,12,21,.571,0,1,.000,1,1,1.000,0,4,4,0,2,1,4,4
David West,2009,21,8,15,.533,0,0,,5,6,.833,1,7,8,1,3,2,3,5
David West,2009,40,14,23,.609,0,0,,12,13,.923,3,8,11,0,0,2,2,4
David West,2009,13,4,14,.286,0,1,.000,5,5,1.000,1,5,6,1,2,1,3,3
David West,2009,12,5,12,.417,0,0,,2,2,1.000,0,3,3,5,0,1,1,0
David West,2009,25,6,20,.300,0,1,.000,13,14,.929,6,8,14,4,1,1,2,5
David West,2009,16,8,18,.444,0,0,,0,0,,1,3,4,3,1,0,1,2
David West,2009,23,6,16,.375,0,0,,11,13,.846,1,4,5,1,2,0,5,3
David West,2009,20,8,17,.471,0,1,.000,4,4,1.000,1,6,7,0,0,0,0,1
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,12,5,16,.313,0,1,.000,2,2,1.000,5,10,15,4,0,1,1,2
David West,2009,16,8,21,.381,0,0,,0,0,,4,6,10,2,0,0,4,1
David West,2009,25,11,24,.458,0,1,.000,3,4,.750,3,5,8,2,0,1,1,3
David West,2009,24,7,17,.412,0,0,,10,11,.909,8,6,14,4,3,1,1,4
David West,2009,17,6,12,.500,0,0,,5,5,1.000,2,8,10,6,0,0,3,3
David West,2009,9,4,7,.571,0,0,,1,2,.500,0,2,2,1,0,1,1,1
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,15,3,12,.250,0,0,,9,10,.900,2,6,8,1,1,0,3,1
David West,2009,37,13,20,.650,0,0,,11,12,.917,3,10,13,3,1,0,2,2
David West,2009,14,6,10,.600,0,0,,2,2,1.000,0,3,3,3,1,1,3,4
David West,2009,16,6,14,.429,0,1,.000,4,5,.800,2,14,16,5,0,0,6,4
David West,2009,18,4,13,.308,0,0,,10,12,.833,1,9,10,5,1,0,1,3
David West,2009,24,8,19,.421,0,1,.000,8,10,.800,3,6,9,5,4,1,1,1
David West,2009,30,10,23,.435,0,0,,10,13,.769,7,4,11,3,2,0,1,3
David West,2009,28,11,19,.579,0,0,,6,7,.857,3,9,12,1,0,2,6,4
David West,2009,32,10,20,.500,0,0,,12,13,.923,5,6,11,3,0,1,2,3
David West,2009,30,12,26,.462,0,0,,6,6,1.000,5,5,10,5,0,0,2,3
David West,2009,19,8,16,.500,0,0,,3,5,.600,2,8,10,3,3,0,2,3
David West,2009,,,,,,,,,,,,,,,,,,
David West,2009,14,6,14,.429,0,0,,2,2,1.000,4,8,12,3,0,2,2,1
David West,2009,16,8,21,.381,0,1,.000,0,0,,3,17,20,0,1,0,1,3
David West,2009,13,6,12,.500,0,0,,1,1,1.000,3,6,9,4,1,0,0,2
David West,2009,21,8,15,.533,0,0,,5,6,.833,2,8,10,2,1,0,4,2
David West,2009,10,4,14,.286,0,0,,2,2,1.000,3,1,4,1,2,1,2,2
David West,2009,16,7,17,.412,0,0,,2,2,1.000,5,8,13,0,4,0,3,4
David West,2009,14,3,13,.231,0,0,,8,10,.800,3,5,8,3,0,0,4,4
David West,2009,29,11,22,.500,0,0,,7,8,.875,1,6,7,1,0,1,2,3
David West,2009,23,11,19,.579,0,0,,1,3,.333,1,3,4,6,0,2,5,5
David West,2009,18,6,19,.316,0,0,,6,6,1.000,2,6,8,2,0,0,2,3
David West,2009,29,11,19,.579,0,1,.000,7,7,1.000,2,5,7,1,0,1,2,4
David West,2009,23,6,18,.333,0,0,,11,11,1.000,2,14,16,1,0,0,2,2
David West,2009,40,15,25,.600,0,0,,10,10,1.000,3,6,9,6,1,1,3,1
David West,2009,19,8,20,.400,0,2,.000,3,3,1.000,0,3,3,3,1,1,1,1
David West,2009,31,14,27,.519,0,0,,3,4,.750,5,9,14,3,0,0,1,4
David West,2009,23,11,17,.647,0,0,,1,1,1.000,4,8,12,3,0,1,5,3
David West,2009,20,8,22,.364,0,0,,4,6,.667,1,5,6,4,1,2,1,2
David West,2009,28,13,20,.650,0,0,,2,2,1.000,3,9,12,1,0,2,2,5
David West,2009,20,8,20,.400,0,0,,4,5,.800,1,13,14,1,0,0,2,1
