Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Trae Young,2022,31,13,27,.481,2,6,.333,3,3,1.000,1,4,5,7,0,0,3,0
Trae Young,2022,15,6,17,.353,1,5,.200,2,3,.667,0,3,3,13,1,2,3,0
Trae Young,2022,13,5,16,.313,1,4,.250,2,4,.500,0,2,2,10,0,0,3,2
Trae Young,2022,26,7,16,.438,1,6,.167,11,11,1.000,0,4,4,6,0,1,6,2
Trae Young,2022,21,6,22,.273,2,6,.333,7,8,.875,3,6,9,10,0,0,2,1
Trae Young,2022,21,8,20,.400,0,4,.000,5,5,1.000,2,2,4,7,1,1,2,2
Trae Young,2022,31,10,23,.435,4,9,.444,7,8,.875,0,2,2,13,0,0,6,2
Trae Young,2022,28,11,20,.550,4,8,.500,2,3,.667,0,3,3,9,0,1,4,2
Trae Young,2022,27,10,21,.476,5,11,.455,2,2,1.000,0,0,0,6,0,1,6,2
Trae Young,2022,30,9,16,.563,3,5,.600,9,10,.900,1,4,5,9,0,1,5,4
Trae Young,2022,42,16,26,.615,8,13,.615,2,2,1.000,2,6,8,10,0,1,5,3
Trae Young,2022,23,9,21,.429,3,7,.429,2,4,.500,0,4,4,6,0,1,5,4
Trae Young,2022,18,4,12,.333,0,6,.000,10,10,1.000,0,0,0,11,0,1,6,2
Trae Young,2022,19,5,15,.333,2,7,.286,7,7,1.000,1,3,4,9,0,1,4,1
Trae Young,2022,30,9,20,.450,5,9,.556,7,7,1.000,1,3,4,6,0,1,2,2
Trae Young,2022,31,14,22,.636,2,6,.333,1,2,.500,1,6,7,11,0,2,2,2
Trae Young,2022,31,12,16,.750,3,4,.750,4,5,.800,0,1,1,10,0,0,4,0
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,33,10,22,.455,5,10,.500,8,10,.800,0,4,4,7,0,0,3,1
Trae Young,2022,33,13,27,.481,3,10,.300,4,4,1.000,1,7,8,10,0,2,4,2
Trae Young,2022,25,8,22,.364,2,5,.400,7,8,.875,2,2,4,10,1,0,4,5
Trae Young,2022,25,9,22,.409,4,10,.400,3,4,.750,1,3,4,15,0,1,6,0
Trae Young,2022,29,7,18,.389,4,9,.444,11,13,.846,2,5,7,11,0,2,5,1
Trae Young,2022,31,10,27,.370,2,8,.250,9,10,.900,5,2,7,10,0,2,7,1
Trae Young,2022,41,14,22,.636,5,9,.556,8,9,.889,0,4,4,9,0,1,7,2
Trae Young,2022,28,11,22,.500,1,8,.125,5,5,1.000,1,3,4,4,0,2,1,1
Trae Young,2022,34,12,27,.444,1,6,.167,9,10,.900,0,3,3,10,0,2,4,2
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,29,8,23,.348,1,6,.167,12,12,1.000,0,1,1,9,0,0,2,1
Trae Young,2022,26,10,23,.435,2,7,.286,4,4,1.000,0,3,3,11,0,0,7,1
Trae Young,2022,35,11,28,.393,5,12,.417,8,10,.800,1,3,4,11,0,1,1,5
Trae Young,2022,56,17,26,.654,7,12,.583,15,15,1.000,1,3,4,14,0,0,4,1
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,25,8,21,.381,1,7,.143,8,10,.800,0,9,9,14,0,0,9,1
Trae Young,2022,19,8,21,.381,1,6,.167,2,2,1.000,1,2,3,7,1,2,3,0
Trae Young,2022,15,4,15,.267,1,6,.167,6,7,.857,0,3,3,5,0,1,4,0
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,24,7,13,.538,3,7,.429,7,7,1.000,0,3,3,9,0,0,4,4
Trae Young,2022,29,11,23,.478,4,12,.333,3,4,.750,0,3,3,5,0,3,4,2
Trae Young,2022,30,7,17,.412,2,6,.333,14,14,1.000,0,4,4,11,0,1,3,1
Trae Young,2022,37,10,17,.588,6,10,.600,11,11,1.000,0,5,5,14,0,1,5,1
Trae Young,2022,28,6,15,.400,4,11,.364,12,15,.800,0,3,3,7,0,1,8,1
Trae Young,2022,30,9,20,.450,8,15,.533,4,5,.800,0,4,4,4,0,1,2,2
Trae Young,2022,17,7,18,.389,3,8,.375,0,0,,1,2,3,10,0,4,4,0
Trae Young,2022,21,8,25,.320,2,9,.222,3,3,1.000,1,8,9,5,0,2,5,3
Trae Young,2022,36,12,22,.545,4,10,.400,8,11,.727,0,5,5,12,0,0,6,2
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,43,16,25,.640,6,10,.600,5,7,.714,0,0,0,5,0,1,4,1
Trae Young,2022,22,9,20,.450,0,4,.000,4,4,1.000,1,5,6,13,0,0,1,0
Trae Young,2022,17,6,19,.316,0,6,.000,5,5,1.000,0,2,2,11,0,0,4,2
Trae Young,2022,34,13,20,.650,6,9,.667,2,2,1.000,0,1,1,11,1,0,5,2
Trae Young,2022,18,6,15,.400,2,8,.250,4,4,1.000,1,3,4,11,0,1,5,3
Trae Young,2022,30,9,26,.346,4,12,.333,8,8,1.000,3,1,4,10,0,2,4,1
Trae Young,2022,41,13,22,.591,4,7,.571,11,13,.846,0,3,3,9,0,1,4,0
Trae Young,2022,22,5,13,.385,4,5,.800,8,8,1.000,0,3,3,6,0,1,1,2
Trae Young,2022,14,3,17,.176,0,5,.000,8,11,.727,0,3,3,10,0,0,4,0
Trae Young,2022,41,17,24,.708,1,4,.250,6,6,1.000,1,3,4,11,1,1,4,3
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,31,12,25,.480,2,7,.286,5,6,.833,0,2,2,6,0,0,2,1
Trae Young,2022,39,11,18,.611,7,9,.778,10,10,1.000,0,3,3,13,0,1,3,1
Trae Young,2022,25,6,22,.273,3,11,.273,10,11,.909,1,3,4,8,0,0,2,3
Trae Young,2022,14,5,20,.250,2,7,.286,2,4,.500,2,2,4,12,0,0,5,2
Trae Young,2022,27,8,15,.533,3,9,.333,8,8,1.000,0,3,3,11,1,1,2,1
Trae Young,2022,27,8,17,.471,1,4,.250,10,12,.833,1,4,5,11,0,1,4,2
Trae Young,2022,47,13,20,.650,7,10,.700,14,14,1.000,0,3,3,5,0,2,4,3
Trae Young,2022,46,15,31,.484,5,14,.357,11,11,1.000,2,4,6,12,0,1,3,1
Trae Young,2022,9,3,12,.250,0,6,.000,3,3,1.000,0,3,3,15,0,3,6,3
Trae Young,2022,,,,,,,,,,,,,,,,,,
Trae Young,2022,21,5,14,.357,3,5,.600,8,8,1.000,3,2,5,10,0,0,7,4
