Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Tracy McGrady,2007,20,7,16,.438,1,1,1.000,5,5,1.000,1,2,3,3,0,2,0,2
Tracy McGrady,2007,16,6,17,.353,0,4,.000,4,6,.667,0,2,2,2,0,2,4,2
Tracy McGrady,2007,28,11,26,.423,2,8,.250,4,9,.444,1,5,6,12,3,3,2,3
Tracy McGrady,2007,27,9,21,.429,3,6,.500,6,11,.545,0,10,10,1,0,0,2,4
Tracy McGrady,2007,32,12,24,.500,4,9,.444,4,6,.667,0,3,3,8,1,3,7,3
Tracy McGrady,2007,37,12,28,.429,4,10,.400,9,11,.818,0,3,3,4,1,0,0,0
Tracy McGrady,2007,34,8,20,.400,3,6,.500,15,18,.833,0,4,4,6,0,1,7,4
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,22,10,20,.500,1,5,.200,1,1,1.000,2,4,6,5,1,1,3,3
Tracy McGrady,2007,28,11,30,.367,2,6,.333,4,4,1.000,2,4,6,7,0,2,3,3
Tracy McGrady,2007,21,7,17,.412,2,6,.333,5,6,.833,1,5,6,4,1,2,2,1
Tracy McGrady,2007,25,10,32,.313,3,10,.300,2,5,.400,0,7,7,4,0,0,3,0
Tracy McGrady,2007,,,,,,,,,,,,,,,,,,
Tracy McGrady,2007,25,7,16,.438,3,6,.500,8,10,.800,0,2,2,9,0,1,6,3
Tracy McGrady,2007,34,11,25,.440,3,10,.300,9,13,.692,0,4,4,5,0,1,1,2
Tracy McGrady,2007,19,6,17,.353,1,4,.250,6,8,.750,0,3,3,10,0,2,2,4
Tracy McGrady,2007,19,8,28,.286,1,4,.250,2,5,.400,1,6,7,4,0,0,3,0
Tracy McGrady,2007,21,6,17,.353,1,7,.143,8,10,.800,0,3,3,9,1,3,3,1
