Player,Highest Points,Lowest Points,Avg Points,Highest Field Goals,Lowest Field Goals,Avg Field Goals,Highest FG Attempts,Lowest FG Attempts,Avg FG Attempts,Highest FG%,Lowest FG%,Avg FG%,Highest Three Pointers,Lowest Three Pointers,Avg Three Pointers,Highest 3P Attempts,Lowest 3P Attempts,Avg 3P Attempts,Highest 3P%,Lowest 3P%,Avg 3P%,Highest Free Throws,Lowest Free Throws,Avg Free Throws,Highest FT Attempts,Lowest FT Attempts,Avg FT Attempts,Highest FT%,Lowest FT%,Avg FT%,Highest ORB,Lowest ORB,Avg ORB,Highest DRB,Lowest DRB,Avg DRB,Highest TRB,Lowest TRB,Avg TRB,Highest Assists,Lowest Assists,Avg Assists,Highest Blocks,Lowest Blocks,Avg Blocks,Highest Steals,Lowest Steals,Avg Steals,Highest Turnovers,Lowest Turnovers,Avg Turnovers,Highest Personal Fouls,Lowest Personal Fouls,Avg Personal Fouls
Baron Davis,37.0,6.0,22.865671641791046,13.0,3.0,8.26865671641791,29.0,12.0,20.925373134328357,0.647,0.227,0.3955373134328358,7.0,0.0,2.791044776119403,14.0,3.0,8.686567164179104,0.857,0.0,0.3204179104477612,14.0,0.0,3.537313432835821,14.0,0.0,5.253731343283582,1.0,0.0,0.6323225806451612,4.0,0.0,0.9850746268656716,9.0,0.0,3.298507462686567,10.0,0.0,4.2835820895522385,13.0,1.0,7.477611940298507,4.0,0.0,0.40298507462686567,6.0,0.0,2.3582089552238807,8.0,0.0,3.208955223880597,6.0,0.0,2.656716417910448
Ben Simmons,34.0,2.0,16.43859649122807,13.0,1.0,6.578947368421052,22.0,2.0,11.350877192982455,1.0,0.2,0.5788245614035087,1.0,0.0,0.03508771929824561,1.0,0.0,0.12280701754385964,1.0,0.0,0.2857142857142857,11.0,0.0,3.245614035087719,14.0,0.0,5.228070175438597,1.0,0.0,0.608,7.0,0.0,1.9824561403508771,11.0,1.0,5.807017543859649,15.0,1.0,7.7894736842105265,17.0,1.0,7.982456140350878,4.0,0.0,0.5789473684210527,7.0,0.0,2.087719298245614,8.0,0.0,3.508771929824561,6.0,0.0,3.263157894736842
Ben Wallace,15.0,0.0,7.280487804878049,7.0,0.0,2.8902439024390243,11.0,1.0,5.670731707317073,1.0,0.0,0.5007073170731707,0.0,0.0,0.0,1.0,0.0,0.04878048780487805,0.0,0.0,0.0,7.0,0.0,1.5,22.0,0.0,3.6097560975609757,1.0,0.0,0.40484057971014487,9.0,0.0,3.6707317073170733,15.0,2.0,7.585365853658536,22.0,3.0,11.25609756097561,6.0,0.0,1.9268292682926829,6.0,0.0,2.207317073170732,5.0,0.0,1.7804878048780488,4.0,0.0,1.0731707317073171,6.0,0.0,2.0
Blake Griffin,50.0,5.0,24.546666666666667,20.0,1.0,8.253333333333334,35.0,5.0,17.88,0.75,0.1,0.45597333333333323,9.0,0.0,2.52,14.0,1.0,6.96,1.0,0.0,0.36761333333333335,17.0,0.0,5.52,24.0,0.0,7.333333333333333,1.0,0.333,0.7550972222222222,6.0,0.0,1.3333333333333333,15.0,0.0,6.2,15.0,0.0,7.533333333333333,11.0,1.0,5.36,2.0,0.0,0.37333333333333335,3.0,0.0,0.6933333333333334,10.0,0.0,3.3733333333333335,6.0,0.0,2.6533333333333333
Brad Miller,35.0,2.0,14.083333333333334,12.0,0.0,5.180555555555555,20.0,3.0,10.152777777777779,1.0,0.0,0.5088472222222221,1.0,0.0,0.16666666666666666,2.0,0.0,0.5277777777777778,1.0,0.0,0.3548387096774194,12.0,0.0,3.5555555555555554,13.0,0.0,4.569444444444445,1.0,0.0,0.7707096774193549,8.0,0.0,2.6527777777777777,15.0,2.0,7.666666666666667,17.0,3.0,10.319444444444445,11.0,0.0,4.333333333333333,4.0,0.0,1.1944444444444444,5.0,0.0,0.9444444444444444,6.0,0.0,2.0,6.0,0.0,3.4305555555555554
Bradley Beal,60.0,7.0,31.3,20.0,1.0,11.166666666666666,37.0,11.0,23.033333333333335,0.684,0.071,0.48333333333333334,7.0,0.0,2.1666666666666665,14.0,1.0,6.216666666666667,1.0,0.0,0.3526833333333333,14.0,0.0,6.8,15.0,0.0,7.65,1.0,0.5,0.8829322033898305,4.0,0.0,1.2,9.0,0.0,3.5166666666666666,10.0,1.0,4.716666666666667,10.0,0.0,4.416666666666667,2.0,0.0,0.36666666666666664,4.0,0.0,1.15,7.0,0.0,3.1166666666666667,5.0,0.0,2.3333333333333335
Brandon Ingram,49.0,7.0,23.822580645161292,17.0,3.0,8.17741935483871,27.0,5.0,17.677419354838708,0.708,0.19,0.46938709677419355,7.0,0.0,2.4193548387096775,11.0,0.0,6.193548387096774,1.0,0.0,0.3978360655737705,16.0,0.0,5.048387096774194,20.0,0.0,5.935483870967742,1.0,0.0,0.8508032786885246,3.0,0.0,0.8225806451612904,14.0,1.0,5.306451612903226,15.0,1.0,6.129032258064516,11.0,0.0,4.17741935483871,3.0,0.0,0.6129032258064516,3.0,0.0,0.9838709677419355,7.0,1.0,3.0483870967741935,6.0,0.0,2.8870967741935485
Brandon Roy,52.0,6.0,22.628205128205128,15.0,2.0,8.115384615384615,30.0,7.0,16.897435897435898,0.75,0.182,0.47976923076923084,5.0,0.0,1.064102564102564,7.0,0.0,2.8205128205128207,1.0,0.0,0.34575999999999996,19.0,0.0,5.333333333333333,21.0,0.0,6.4743589743589745,1.0,0.3,0.8467142857142858,5.0,0.0,1.3333333333333333,9.0,0.0,3.41025641025641,9.0,1.0,4.743589743589744,11.0,0.0,5.128205128205129,2.0,0.0,0.28205128205128205,10.0,0.0,1.1282051282051282,6.0,0.0,1.9487179487179487,6.0,0.0,1.6282051282051282
Brook Lopez,38.0,8.0,19.41891891891892,15.0,3.0,7.702702702702703,25.0,7.0,14.783783783783784,0.857,0.231,0.522972972972973,0.0,0.0,0.0,1.0,0.0,0.013513513513513514,0.0,0.0,0.0,11.0,0.0,4.013513513513513,15.0,0.0,5.297297297297297,1.0,0.0,0.7453835616438356,7.0,0.0,2.810810810810811,9.0,0.0,4.108108108108108,13.0,1.0,6.918918918918919,5.0,0.0,0.9459459459459459,5.0,0.0,2.081081081081081,2.0,0.0,0.44594594594594594,7.0,0.0,1.7702702702702702,5.0,0.0,2.054054054054054
Carlos Boozer,41.0,4.0,21.08641975308642,17.0,1.0,8.753086419753087,25.0,6.0,16.012345679012345,0.889,0.111,0.5467037037037037,0.0,0.0,0.0,1.0,0.0,0.012345679012345678,0.0,0.0,0.0,16.0,0.0,3.580246913580247,18.0,0.0,4.851851851851852,1.0,0.0,0.7412077922077922,6.0,0.0,2.432098765432099,15.0,1.0,7.987654320987654,17.0,1.0,10.419753086419753,10.0,0.0,2.876543209876543,3.0,0.0,0.5061728395061729,5.0,0.0,1.2345679012345678,9.0,0.0,2.5925925925925926,6.0,0.0,3.617283950617284
