Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Jamal Mashburn,2003,21,9,16,.563,0,1,.000,3,4,.750,1,10,11,6,0,1,0,2
Jamal Mashburn,2003,12,5,11,.455,0,1,.000,2,3,.667,0,1,1,9,0,0,2,2
Jamal Mashburn,2003,22,7,16,.438,2,3,.667,6,7,.857,0,8,8,4,0,0,3,4
Jamal Mashburn,2003,23,8,20,.400,2,4,.500,5,5,1.000,2,6,8,5,0,0,2,5
Jamal Mashburn,2003,30,13,21,.619,3,4,.750,1,2,.500,0,10,10,6,0,2,3,2
Jamal Mashburn,2003,16,7,23,.304,0,2,.000,2,3,.667,1,3,4,3,0,1,2,2
Jamal Mashburn,2003,8,3,17,.176,0,3,.000,2,4,.500,1,9,10,4,0,1,3,2
Jamal Mashburn,2003,17,6,20,.300,2,5,.400,3,3,1.000,4,5,9,1,0,1,4,4
Jamal Mashburn,2003,25,11,25,.440,0,0,,3,3,1.000,0,5,5,5,0,1,2,2
Jamal Mashburn,2003,24,8,23,.348,3,5,.600,5,5,1.000,0,8,8,2,1,1,3,4
Jamal Mashburn,2003,29,13,22,.591,2,4,.500,1,1,1.000,2,3,5,9,0,1,1,3
Jamal Mashburn,2003,22,10,18,.556,1,1,1.000,1,2,.500,0,6,6,5,0,1,2,4
Jamal Mashburn,2003,30,11,26,.423,4,10,.400,4,4,1.000,0,3,3,11,0,1,1,3
Jamal Mashburn,2003,21,9,23,.391,1,5,.200,2,2,1.000,0,3,3,1,0,2,2,5
Jamal Mashburn,2003,26,9,26,.346,2,7,.286,6,6,1.000,1,14,15,9,0,0,2,3
Jamal Mashburn,2003,16,6,18,.333,2,4,.500,2,2,1.000,0,3,3,4,0,0,2,1
Jamal Mashburn,2003,19,6,17,.353,3,5,.600,4,4,1.000,0,5,5,3,0,0,5,3
Jamal Mashburn,2003,,,,,,,,,,,,,,,,,,
Jamal Mashburn,2003,16,5,15,.333,1,3,.333,5,5,1.000,1,5,6,7,0,3,4,1
Jamal Mashburn,2003,19,7,20,.350,1,2,.500,4,6,.667,1,4,5,8,1,2,1,1
Jamal Mashburn,2003,24,10,21,.476,0,2,.000,4,4,1.000,3,4,7,8,1,0,1,2
Jamal Mashburn,2003,4,2,8,.250,0,1,.000,0,0,,0,1,1,1,0,0,2,1
Jamal Mashburn,2003,24,8,20,.400,2,7,.286,6,7,.857,2,5,7,6,1,0,1,0
Jamal Mashburn,2003,11,3,16,.188,1,3,.333,4,4,1.000,1,5,6,5,0,0,3,3
Jamal Mashburn,2003,17,6,17,.353,1,2,.500,4,4,1.000,1,5,6,3,1,0,1,2
Jamal Mashburn,2003,39,15,23,.652,3,6,.500,6,6,1.000,2,6,8,5,0,1,6,2
Jamal Mashburn,2003,30,12,19,.632,4,6,.667,2,3,.667,0,6,6,8,0,2,2,4
Jamal Mashburn,2003,26,10,17,.588,4,7,.571,2,2,1.000,1,3,4,5,0,3,5,0
Jamal Mashburn,2003,15,6,18,.333,0,4,.000,3,4,.750,0,14,14,3,2,2,4,2
Jamal Mashburn,2003,18,7,22,.318,2,4,.500,2,3,.667,1,4,5,3,1,0,3,4
Jamal Mashburn,2003,19,8,23,.348,1,7,.143,2,2,1.000,2,5,7,5,0,0,5,2
Jamal Mashburn,2003,24,9,17,.529,0,2,.000,6,8,.750,1,3,4,9,0,1,5,3
Jamal Mashburn,2003,20,7,20,.350,2,4,.500,4,4,1.000,1,3,4,5,1,1,6,2
Jamal Mashburn,2003,24,11,23,.478,2,4,.500,0,1,.000,1,4,5,5,0,1,4,0
Jamal Mashburn,2003,50,17,33,.515,4,7,.571,12,12,1.000,2,3,5,5,0,1,3,2
Jamal Mashburn,2003,29,14,31,.452,0,1,.000,1,1,1.000,1,4,5,10,0,0,3,3
Jamal Mashburn,2003,18,8,17,.471,0,2,.000,2,2,1.000,1,12,13,13,0,0,3,5
Jamal Mashburn,2003,24,8,24,.333,1,2,.500,7,9,.778,1,8,9,7,0,1,3,2
Jamal Mashburn,2003,,,,,,,,,,,,,,,,,,
Jamal Mashburn,2003,23,9,15,.600,2,2,1.000,3,3,1.000,1,2,3,9,0,0,6,1
Jamal Mashburn,2003,35,13,21,.619,4,9,.444,5,6,.833,3,1,4,10,1,1,2,3
Jamal Mashburn,2003,18,8,19,.421,1,6,.167,1,2,.500,1,7,8,7,0,1,0,0
Jamal Mashburn,2003,18,6,21,.286,1,4,.250,5,5,1.000,1,7,8,2,1,1,7,4
Jamal Mashburn,2003,16,5,22,.227,3,10,.300,3,4,.750,0,4,4,3,0,0,2,2
Jamal Mashburn,2003,11,4,13,.308,0,1,.000,3,5,.600,0,2,2,2,0,1,2,3
Jamal Mashburn,2003,21,7,18,.389,1,3,.333,6,7,.857,0,5,5,7,0,2,1,3
Jamal Mashburn,2003,8,4,13,.308,0,2,.000,0,0,,1,3,4,9,0,0,2,5
Jamal Mashburn,2003,25,8,20,.400,1,2,.500,8,8,1.000,0,8,8,8,0,1,2,1
Jamal Mashburn,2003,22,8,19,.421,2,6,.333,4,4,1.000,0,3,3,8,1,3,4,2
Jamal Mashburn,2003,18,8,17,.471,2,6,.333,0,3,.000,2,1,3,7,0,1,2,2
Jamal Mashburn,2003,40,14,27,.519,5,8,.625,7,8,.875,1,4,5,4,0,1,3,2
Jamal Mashburn,2003,27,8,17,.471,2,3,.667,9,11,.818,1,2,3,2,0,0,5,3
Jamal Mashburn,2003,24,10,20,.500,2,2,1.000,2,2,1.000,1,6,7,3,0,1,5,3
Jamal Mashburn,2003,10,4,13,.308,1,2,.500,1,2,.500,1,6,7,4,0,1,3,1
Jamal Mashburn,2003,24,8,17,.471,2,5,.400,6,8,.750,1,5,6,6,0,1,3,3
Jamal Mashburn,2003,23,8,22,.364,3,9,.333,4,5,.800,2,2,4,8,0,3,4,1
Jamal Mashburn,2003,28,12,17,.706,3,6,.500,1,1,1.000,0,4,4,7,1,1,4,2
Jamal Mashburn,2003,20,7,22,.318,2,5,.400,4,5,.800,0,8,8,8,1,0,2,3
Jamal Mashburn,2003,27,11,22,.500,2,3,.667,3,4,.750,0,5,5,4,0,0,3,2
Jamal Mashburn,2003,,,,,,,,,,,,,,,,,,
Jamal Mashburn,2003,17,7,22,.318,0,2,.000,3,3,1.000,0,5,5,4,0,1,1,2
Jamal Mashburn,2003,15,4,15,.267,0,1,.000,7,7,1.000,0,10,10,11,0,3,1,0
James Harden,2021,44,12,21,.571,6,13,.462,14,16,.875,1,3,4,17,0,1,5,1
James Harden,2021,34,10,16,.625,5,9,.556,9,9,1.000,0,6,6,8,0,1,5,2
James Harden,2021,33,10,24,.417,4,11,.364,9,11,.818,2,4,6,8,1,1,6,2
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,21,5,17,.294,3,11,.273,8,10,.800,0,3,3,10,0,2,2,1
James Harden,2021,15,5,14,.357,1,5,.200,4,4,1.000,0,4,4,12,2,1,4,2
James Harden,2021,15,6,13,.462,3,9,.333,0,0,,0,5,5,13,1,0,2,2
James Harden,2021,20,7,14,.500,2,8,.250,4,5,.800,1,5,6,9,2,0,7,2
James Harden,2021,16,5,16,.313,1,6,.167,5,5,1.000,1,6,7,6,0,1,3,2
James Harden,2021,32,8,18,.444,3,10,.300,13,15,.867,1,11,12,14,1,4,9,3
James Harden,2021,34,13,25,.520,3,10,.300,5,6,.833,1,5,6,12,1,0,6,3
James Harden,2021,21,6,14,.429,3,6,.500,6,6,1.000,1,9,10,12,0,2,5,5
James Harden,2021,19,6,14,.429,4,9,.444,3,4,.750,0,5,5,11,0,0,3,2
James Harden,2021,12,2,9,.222,0,5,.000,8,9,.889,0,7,7,11,0,0,5,2
James Harden,2021,20,7,10,.700,3,5,.600,3,5,.600,0,4,4,8,1,1,3,0
James Harden,2021,31,9,20,.450,5,9,.556,8,8,1.000,3,5,8,15,1,2,3,1
James Harden,2021,25,9,14,.643,3,6,.500,4,4,1.000,0,10,10,11,1,0,1,5
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,23,7,15,.467,1,6,.167,8,8,1.000,1,11,12,14,0,1,3,5
James Harden,2021,17,4,8,.500,2,5,.400,7,9,.778,0,7,7,12,0,2,3,2
James Harden,2021,,,,,,,,,,,,,,,,,,
James Harden,2021,26,10,20,.500,3,8,.375,3,4,.750,3,5,8,10,0,0,2,3
James Harden,2021,24,8,14,.571,1,4,.250,7,7,1.000,1,5,6,12,5,2,7,3
James Harden,2021,19,4,13,.308,1,6,.167,10,10,1.000,0,11,11,5,0,0,5,1
